Subcategory,Category,Brand Description,Size (ml),Per Case,Product Code,Case Price (VAT Excl),Case Price (VAT Incl),Bottle Price (VAT Excl),Bottle Price (VAT Incl),UPC,MSRP Price (Bottle)
Uncategorized,Uncategorized,Chateau Au Pont de Guitres,750,6,MAR-CAPG-750x6,1152.0,1296.0,192.0,216.0,3760398210104.0,270.0
French Wine,Wine,Chateauneuf de Pape D.J. Dupere Caboche,750,6,MAR-CDPC-750x6,1813.33,2048.0,302.24,340.0,3488900020143.0,425.0
Uncategorized,Uncategorized,Domaine Philippe Plantevin Le Perussier,750,6,MAR-DPPP-750x6,874.67,984.0,145.78,164.0,3362729800031.0,205.0
French Wine,Wine,AOP Bourgogne Aligote Moillard Lond du Bo,750,6,LGCF-ALII-750x6,942.22,1060.0,157.04,176.67,3180421053412.0,211.99
Uncategorized,Uncategorized,AOP Lalande de Pomerol Red Sgt Merle,750,6,LGCF-SERG-750x6,1154.45,1299.89,192.41,216.65,3506010057889.0,261.95
Uncategorized,Uncategorized,Aetos Red Blend Merlot Cabernet Syrah,750,6,LGCF-ARMC-750x6,535.65,602.61,89.28,100.43,3506010125489.0,125.55
French Wine,Wine,Beaujolais Red Calvet AOP,750,6,LGCF-BEAU-750x6,655.65,737.1,109.2,122.85,3159500700084.0,153.56
French Wine,Wine,Beaujolais Villages NNF,750,12,GDB-BEAU-750x12,1418.26,1595.54,118.19,132.96,3351560000007.0,166.21
French Wine,Wine,Bourgogne Moillard Le Duche Char AOP,750,6,LGCF-BOCH-750x6,846.42,952.21,141.07,158.7,3180421043789.0,198.38
French Wine,Wine,Bourgogne Red Moillard Duche P. Noir AOP,750,6,LGCF-BOPN-750x6,891.78,1031.94,152.88,177.33,3180421057603.0,214.99
Uncategorized,Uncategorized,Cabernet Sauvignon Pays D’oc Rouge,750,12,GDB-CASA-750x12,1231.78,1385.75,102.65,115.48,3315560001167.0,144.35
French Wine,Wine,Calvet Cabernet Sauvignon IGP OC,750,6,LGCF-CSAUV-750x6,901.33,1014.0,150.22,169.0,3159506036286.0,139.03
French Wine,Wine,Calvet Chardonnay IGP OC,750,6,LGCF-CHAR-750x6,567.84,638.82,94.64,106.47,3159560603804.0,133.09
French Wine,Wine,Calvet Merlot IGP OC,750,6,LGCF-RMER-750x6,567.84,638.82,94.64,106.47,3159560603279.0,133.09
French Wine,Wine,Calvet Sauvignon IGP OC,750,6,LGCF-SAUV-750x6,567.84,638.82,94.64,106.47,3159560603811.0,133.09
French Wine,Wine,Calvet Syrah IGP OC,187,48,LGCF-SYRA-187x48,1203.11,1351.45,25.06,28.15,3159506012800.0,36.9
French Wine,Wine,Calvet Varietals Merlot Suede IGP OC,187,48,LGCF-MERI-187x48,1249.25,1405.41,26.03,29.28,3159506013535.0,36.6
Uncategorized,Uncategorized,Chardonnay 2019,750,6,BDPR-CHAR-750x6,683.35,768.77,113.89,128.13,3262153031757.0,160.17
Uncategorized,Uncategorized,Chardonnay Pays D’oc Blanc,750,12,GDB-CHAR-750x12,1289.04,1451.35,107.42,120.95,3351560012422.0,151.05
Wines Around the World,Wine,Chardonnay Pays D’oc IGP Honbon,750,12,HOB-CHAR-750x12,1226.67,1380.0,102.22,115.0,3351560012422.0,99.0
French Wine,Wine,Chateauneuf Du Pape,750,6,GDB-CHAT-750x6,1829.33,2063.0,296.93,335.0,3351560014791.0,371.0
